X[Hz],50V,100V,200V,Background
29.875,1.338351e-05,4.438419e-06,3.212944e-06,1.718154e-08
30.0,1.157339e-05,4.339387e-06,3.062112e-06,1.585048e-08
30.125,1.225106e-05,3.686933e-06,2.982754e-06,1.678101e-08
30.25,1.1452169999999998e-05,4.0851830000000005e-06,3.208546e-06,1.0879510000000001e-08
30.375,1.61339e-05,4.760364e-06,2.798485e-06,1.7014310000000002e-08
30.5,1.144028e-05,4.559893e-06,3.011774e-06,1.57564e-08
30.625,1.302335e-05,3.829477e-06,3.072756e-06,1.5018929999999998e-08
30.75,1.195839e-05,3.7930239999999998e-06,2.825742e-06,1.592862e-08
30.875,1.423285e-05,3.998694e-06,3.321239e-06,1.3345530000000002e-08
31.0,1.3484270000000002e-05,4.189938e-06,2.8134070000000004e-06,1.3457649999999998e-08
31.125,1.4168270000000003e-05,4.967746e-06,2.679996e-06,1.687387e-08
31.25,1.001659e-05,4.251305e-06,2.5044960000000002e-06,1.3319020000000001e-08
31.375,1.4557089999999998e-05,4.2512329999999995e-06,2.908536e-06,1.575405e-08
31.5,1.227598e-05,4.092374e-06,2.98237e-06,1.5038129999999997e-08
31.625,1.247786e-05,4.61494e-06,3.360464e-06,1.5127150000000002e-08
31.75,1.252458e-05,4.8350389999999995e-06,3.019878e-06,1.394017e-08
31.875,1.329211e-05,4.233579e-06,3.0206830000000003e-06,1.371621e-08
32.0,1.396239e-05,4.650398e-06,2.7004289999999998e-06,1.740654e-08
32.125,1.2294990000000001e-05,4.020688e-06,2.320171e-06,1.4525010000000001e-08
32.25,1.194003e-05,3.975355e-06,3.3275009999999997e-06,1.3757549999999999e-08
32.375,1.2974489999999998e-05,4.615887e-06,2.9811590000000003e-06,1.401173e-08
32.5,1.273311e-05,3.94912e-06,2.831302e-06,1.60201e-08
32.625,1.1962169999999998e-05,4.336162e-06,3.048483e-06,1.481152e-08
32.75,1.1488110000000002e-05,4.020273000000001e-06,3.27247e-06,1.180002e-08
32.875,1.293702e-05,4.157813e-06,2.533777e-06,1.2753190000000001e-08
33.0,1.211007e-05,4.6424630000000005e-06,2.259933e-06,1.323824e-08
33.125,1.411683e-05,4.441385e-06,2.7251569999999996e-06,1.3501510000000002e-08
33.25,1.205528e-05,4.021979e-06,3.373046e-06,1.4829290000000001e-08
33.375,1.078953e-05,4.7946129999999995e-06,2.6621409999999995e-06,1.461271e-08
33.5,1.147288e-05,3.746146e-06,2.8088220000000003e-06,1.560636e-08
33.625,1.386078e-05,3.508687e-06,3.0143579999999996e-06,1.523479e-08
33.75,1.0392519999999999e-05,3.697742e-06,2.947295e-06,1.13697e-08
33.875,1.00311e-05,4.0276999999999996e-06,2.5727350000000003e-06,1.490565e-08
34.0,9.589225999999999e-06,3.800244e-06,2.8782990000000002e-06,1.4579159999999999e-08
34.125,1.2790719999999999e-05,3.743775e-06,2.908921e-06,1.184731e-08
34.25,1.031059e-05,4.174356e-06,3.628841e-06,1.406595e-08
34.375,1.2230439999999998e-05,4.591295e-06,3.5827080000000002e-06,1.3809020000000001e-08
34.5,1.4053110000000002e-05,4.0074829999999995e-06,2.5975400000000004e-06,1.527097e-08
34.625,1.2042390000000001e-05,4.935951e-06,3.326951e-06,1.359229e-08
34.75,1.263125e-05,4.063185e-06,2.691716e-06,1.280608e-08
34.875,1.1828019999999999e-05,5.175692e-06,2.932892e-06,1.200679e-08
35.0,1.5048370000000003e-05,4.795602e-06,3.1126549999999997e-06,1.382834e-08
35.125,9.786218e-06,3.683553e-06,3.335496e-06,1.379615e-08
35.25,1.1954680000000001e-05,3.884981000000001e-06,2.7611759999999997e-06,1.4992020000000003e-08
35.375,1.259211e-05,5.230313e-06,2.9824700000000003e-06,1.3391709999999999e-08
35.5,1.028019e-05,4.097994e-06,2.892108e-06,1.049634e-08
35.625,1.063656e-05,4.230937e-06,2.5711169999999997e-06,1.463501e-08
35.75,1.0694870000000001e-05,3.090804e-06,2.80776e-06,1.142425e-08
35.875,9.457159000000001e-06,3.901909e-06,3.6252190000000003e-06,1.4603239999999999e-08
36.0,1.0333030000000001e-05,4.624917e-06,2.732946e-06,1.4735810000000001e-08
36.125,1.1985460000000001e-05,4.1255990000000005e-06,2.760095e-06,1.385653e-08
36.25,1.1125070000000001e-05,3.464271e-06,2.516075e-06,1.310461e-08
36.375,1.3720120000000002e-05,3.8054700000000003e-06,2.656023e-06,1.286564e-08
36.5,1.03513e-05,3.725449e-06,2.798897e-06,1.5660899999999998e-08
36.625,1.0846320000000001e-05,3.4142279999999998e-06,2.982971e-06,1.2456270000000001e-08
36.75,1.0246780000000002e-05,3.823718e-06,2.555975e-06,1.247766e-08
36.875,9.20153e-06,4.096516e-06,2.8791989999999997e-06,1.013152e-08
37.0,1.0486689999999998e-05,3.9367410000000004e-06,2.958523e-06,1.5896079999999998e-08
37.125,1.1592180000000001e-05,3.4720999999999998e-06,2.966917e-06,1.570981e-08
37.25,1.0992910000000002e-05,4.194545e-06,2.865521e-06,1.10574e-08
37.375,1.141235e-05,4.035193e-06,2.8394940000000003e-06,1.431627e-08
37.5,1.118302e-05,4.481209999999999e-06,2.5317349999999997e-06,1.3952629999999999e-08
37.625,9.74087e-06,3.152957e-06,2.519037e-06,1.516338e-08
37.75,9.722997e-06,3.949137e-06,2.7608569999999996e-06,1.360659e-08
37.875,1.069958e-05,4.304073e-06,3.3801e-06,1.465731e-08
38.0,1.284307e-05,3.8196199999999995e-06,3.2011630000000004e-06,1.3326899999999999e-08
38.125,1.032058e-05,3.229158e-06,3.0087560000000004e-06,1.302381e-08
38.25,1.12469e-05,3.6982e-06,2.8810199999999997e-06,1.553902e-08
38.375,1.184145e-05,4.1732929999999995e-06,2.39371e-06,1.532822e-08
38.5,1.1451789999999999e-05,3.825995e-06,3.068186e-06,1.0510549999999998e-08
38.625,8.68528e-06,4.382892e-06,3.1499200000000002e-06,1.0707e-08
38.75,1.247595e-05,3.760886e-06,2.7883100000000003e-06,1.174875e-08
38.875,9.638211e-06,3.874103e-06,3.476664e-06,1.351268e-08
39.0,1.073135e-05,4.075832e-06,2.184811e-06,1.179624e-08
39.125,1.173671e-05,3.601847e-06,3.1682260000000003e-06,1.3178989999999999e-08
39.25,1.167663e-05,4.009474e-06,3.034504e-06,1.2120139999999999e-08
39.375,1.011431e-05,4.707487e-06,3.1980549999999997e-06,1.393892e-08
39.5,1.137558e-05,4.080683e-06,2.975006e-06,1.255892e-08
39.625,9.066685999999999e-06,4.312018e-06,2.6236619999999998e-06,1.1581350000000002e-08
39.75,9.787462e-06,4.003995e-06,3.024652e-06,1.094117e-08
